swept_band,power_dBm,capacity_Tbps,snr_target_dB,nspans,span_km,band_selection,isolated_sweep
E,0.40000000000000036,97.183374245888,17.64337730407715,1,80.0,OESCL,True
E,0.8000000000000007,96.769018953728,17.5665283203125,1,80.0,OESCL,True
E,1.2000000000000002,95.83934308352,17.39388656616211,1,80.0,OESCL,True
E,1.6000000000000005,94.563419029504,17.156524658203125,1,80.0,OESCL,True
E,2.0,93.060180475904,16.87636375427246,1,80.0,OESCL,True
E,2.4000000000000004,91.302272172032,16.548059463500977,1,80.0,OESCL,True
E,2.8000000000000007,89.293762592768,16.17202377319336,1,80.0,OESCL,True
E,3.2,87.712937803776,15.875255584716797,1,80.0,OESCL,True
E,3.6000000000000005,86.366733991936,15.62182903289795,1,80.0,OESCL,True
E,4.0,94.896832643072,17.2189998626709,1,80.0,OESCL,True
S,-4.0,89.731454992384,18.699983596801758,1,80.0,OESCL,True
S,-3.6,90.13815148544,18.78614616394043,1,80.0,OESCL,True
S,-3.2,90.49940688896,18.86266326904297,1,80.0,OESCL,True
S,-2.8,90.811219836928,18.928691864013672,1,80.0,OESCL,True
S,-2.4,91.066803945472,18.982807159423828,1,80.0,OESCL,True
S,-2.0,91.2542138368,19.022485733032227,1,80.0,OESCL,True
S,-1.5999999999999996,91.352301830144,19.043254852294922,1,80.0,OESCL,True
S,-1.1999999999999997,91.319804362752,19.0363826751709,1,80.0,OESCL,True
S,-0.7999999999999998,91.066543898624,18.9827823638916,1,80.0,OESCL,True
S,-0.3999999999999999,92.265552805888,19.236488342285156,1,80.0,OESCL,True
S,0.0,92.33793810432,19.251802444458008,1,80.0,OESCL,True
S,0.40000000000000036,92.35979042816,19.256427764892578,1,80.0,OESCL,True
S,0.8000000000000007,92.325799788544,19.24924087524414,1,80.0,OESCL,True
S,1.2000000000000002,92.229381128192,19.22884750366211,1,80.0,OESCL,True
S,1.6000000000000005,92.06254010368,19.19355583190918,1,80.0,OESCL,True
S,2.0,91.81574725632,19.141340255737305,1,80.0,OESCL,True
S,2.4000000000000004,91.477594079232,19.069786071777344,1,80.0,OESCL,True
S,2.8000000000000007,91.034927235072,18.976093292236328,1,80.0,OESCL,True
S,3.2,90.472722726912,18.8570556640625,1,80.0,OESCL,True
S,3.6000000000000005,89.774094286848,18.70907211303711,1,80.0,OESCL,True
S,4.0,88.920620531712,18.52819061279297,1,80.0,OESCL,True
C,-4.0,63.496943304704,22.096527099609375,1,80.0,OESCL,True
C,-3.6,63.746529558528,22.184017181396484,1,80.0,OESCL,True
C,-3.2,63.963622539264,22.26011085510254,1,80.0,OESCL,True
C,-2.8,64.14491713536,22.323646545410156,1,80.0,OESCL,True
C,-2.4,64.28544729088,22.37289810180664,1,80.0,OESCL,True
C,-2.0,64.377877168128,22.405284881591797,1,80.0,OESCL,True
C,-1.5999999999999996,64.410999586816,22.41689682006836,1,80.0,OESCL,True
C,-1.1999999999999997,64.767188271104,22.541696548461914,1,80.0,OESCL,True
C,-0.7999999999999998,64.912005005312,22.592430114746094,1,80.0,OESCL,True
C,-0.3999999999999999,64.944879960064,22.60394859313965,1,80.0,OESCL,True
C,0.0,64.938588504064,22.601747512817383,1,80.0,OESCL,True
C,0.40000000000000036,64.888869224448,22.584327697753906,1,80.0,OESCL,True
C,0.8000000000000007,64.79058829312,22.549896240234375,1,80.0,OESCL,True
C,1.2000000000000002,64.637718495232,22.496335983276367,1,80.0,OESCL,True
C,1.6000000000000005,64.423284703232,22.421199798583984,1,80.0,OESCL,True
C,2.0,64.13935968256,22.321699142456055,1,80.0,OESCL,True
C,2.4000000000000004,63.777127006208,22.194744110107422,1,80.0,OESCL,True
C,2.8000000000000007,63.327103352832,22.036983489990234,1,80.0,OESCL,True
C,3.2,62.779205615616,21.844865798950195,1,80.0,OESCL,True
C,3.6000000000000005,62.12317872128,21.614755630493164,1,80.0,OESCL,True
C,4.0,61.349019254784,21.343097686767578,1,80.0,OESCL,True
L,-4.0,80.9672638464,20.774587631225586,1,80.0,OESCL,True
L,-3.6,81.260177260544,20.850496292114258,1,80.0,OESCL,True
L,-3.2,81.50509944832,20.913965225219727,1,80.0,OESCL,True
L,-2.8,81.946935820288,21.02843475341797,1,80.0,OESCL,True
L,-2.4,82.186095034368,21.09038734436035,1,80.0,OESCL,True
L,-2.0,82.394535165952,21.144376754760742,1,80.0,OESCL,True
L,-1.5999999999999996,82.571316690944,21.190162658691406,1,80.0,OESCL,True
L,-1.1999999999999997,82.71507226624,21.227392196655273,1,80.0,OESCL,True
L,-0.7999999999999998,82.82370473984,21.255525588989258,1,80.0,OESCL,True
L,-0.3999999999999999,82.894580088832,21.273876190185547,1,80.0,OESCL,True
L,0.0,82.924183486464,21.28154182434082,1,80.0,OESCL,True
L,0.40000000000000036,82.908060581888,21.277368545532227,1,80.0,OESCL,True
L,0.8000000000000007,82.840557453312,21.2598876953125,1,80.0,OESCL,True
L,1.2000000000000002,82.714770276352,21.227312088012695,1,80.0,OESCL,True
L,1.6000000000000005,82.522285277184,21.177461624145508,1,80.0,OESCL,True
L,2.0,82.253036126208,21.107725143432617,1,80.0,OESCL,True
L,2.4000000000000004,81.895027113984,21.014989852905273,1,80.0,OESCL,True
L,2.8000000000000007,81.434442203136,20.895654678344727,1,80.0,OESCL,True
L,3.2,80.855368204288,20.745582580566406,1,80.0,OESCL,True
L,3.6000000000000005,80.139987714048,20.560123443603516,1,80.0,OESCL,True
L,4.0,79.268788830208,20.334171295166016,1,80.0,OESCL,True
