nfev,cost,capacity_Tbps,time_s,P_O_dBm,P_E_dBm,P_S_dBm,P_C_dBm,P_L_dBm
10,-267.08638746003845,267.08638746003845,963.6783181629144,-0.5512860027514995,6.0,5.9,-3.155481743915487,-2.816276685679527
11,-259.68890873188957,259.68890873188957,959.7859071299899,-0.5512860027514995,6.0,6.0,-3.055481743915487,-2.816276685679527
12,-259.6066864537411,259.6066864537411,986.821708854055,-0.5512860027514995,6.0,6.0,-3.155481743915487,-2.716276685679527
13,-1380.4483008813966,1380.4483008813966,1002.0800495820586,-4.091468766599293,-3.6916059871800044,-2.726561006648412,-4.687146903411411,-4.885106851087801
14,-1378.5082528336775,1378.5082528336775,991.0044028789271,-3.991468766599293,-3.6916059871800044,-2.726561006648412,-4.687146903411411,-4.885106851087801
15,-1381.8198730201032,1381.8198730201032,1006.228396628052,-4.091468766599293,-3.5916059871800043,-2.726561006648412,-4.687146903411411,-4.885106851087801
16,-1380.5178118026633,1380.5178118026633,995.7267635278404,-4.091468766599293,-3.6916059871800044,-2.6265610066484117,-4.687146903411411,-4.885106851087801
17,-1380.0860513043137,1380.0860513043137,993.2914211158641,-4.091468766599293,-3.6916059871800044,-2.726561006648412,-4.587146903411411,-4.885106851087801
18,-1380.0826650334943,1380.0826650334943,1006.3445061200764,-4.091468766599293,-3.6916059871800044,-2.726561006648412,-4.687146903411411,-4.785106851087801
19,-1389.5995178800874,1389.5995178800874,964.4056218210608,-4.553245425004257,-2.607856299800215,-2.121346831693517,-4.714201007633892,-4.876880341390568
20,-1390.219199807665,1390.219199807665,979.5291026469786,-4.4532454250042575,-2.607856299800215,-2.121346831693517,-4.714201007633892,-4.876880341390568
21,-1390.0587454587808,1390.0587454587808,978.6723087900318,-4.553245425004257,-2.5078562998002147,-2.121346831693517,-4.714201007633892,-4.876880341390568
22,-1388.0800582208378,1388.0800582208378,986.7314189488534,-4.553245425004257,-2.607856299800215,-2.021346831693517,-4.714201007633892,-4.876880341390568
23,-1389.0350880735164,1389.0350880735164,979.3133301830385,-4.553245425004257,-2.607856299800215,-2.121346831693517,-4.614201007633892,-4.876880341390568
24,-1388.882081980969,1388.882081980969,978.7827388420701,-4.553245425004257,-2.607856299800215,-2.121346831693517,-4.714201007633892,-4.7768803413905685
