Att	Att_bar	Cr
7.38761267967157e-05	0.00011883274710546	2.95902021580934e-17
7.40155747091178e-05	0.000121091280277441	2.9617039301812e-17
7.41570296247937e-05	0.000123502429819062	2.9662298025208e-17
7.43038646634615e-05	0.000126086248369519	2.9730298982953e-17
7.44528358263266e-05	0.000128862509058461	2.98260999800353e-17
7.46042456114981e-05	0.000131862074067381	2.99539255237321e-17
7.47597014243486e-05	0.000135122601734662	3.01176886524159e-17
7.49176949138365e-05	0.000138680186274818	3.03273426395464e-17
7.50784211114225e-05	0.000142586552870765	3.05923606463704e-17
7.52420865268105e-05	0.000146903227354194	3.09271328556633e-17
7.54087840278353e-05	0.000151695274586021	3.13538382228704e-17
7.5578811340757e-05	0.000157061884243331	3.18956884542856e-17
7.57524650825781e-05	0.000163121512763529	3.25917598982222e-17
7.5930022212078e-05	0.000170021389859153	3.34993118909712e-17
7.61119191628597e-05	0.000177971168618064	3.46966667376638e-17
7.62985623473361e-05	0.00018723311040834	3.63187691469794e-17
7.6490552651137e-05	0.000198196090085787	3.8575858711806e-17
7.66883726978518e-05	0.00021136760180061	4.18680348510061e-17
7.68926275910952e-05	0.000227483411822677	4.69956298870624e-17
7.71040729131787e-05	0.000247659756487112	5.58222968052165e-17
7.72010239483274e-05	0.00026062750672084	5.5999999999999e-17
7.73197428018624e-05	0.000262809570450683	5.5999999994095e-17
7.74409799881123e-05	7.65910701543716e-05	2.8e-17
7.76503603888863e-05	7.67193621023209e-06	1.40000000000006e-17
7.78611149525638e-05	7.68485884210852e-06	1.40000000000006e-17
7.80723044484584e-05	7.69777026140115e-06	1.40000000000009e-17
7.82838441089538e-05	7.71067048269867e-06	1.40000000000006e-17
7.84961413376685e-05	7.72355952055788e-06	1.40000000000008e-17
7.72118875732912e-05	7.73643738952074e-06	3.90973321683715e-17
7.60351753603359e-05	1.09881708515292e-05	5.59999999999992e-17
7.58914994557769e-05	1.41869373669633e-05	5.59999999999994e-17
7.57498482891117e-05	1.68616781205015e-05	5.59999999999994e-17
7.56097228295654e-05	1.91526941877357e-05	5.59999999999994e-17
7.54715776363463e-05	2.11602297616731e-05	5.59999999999989e-17
7.53351051759023e-05	2.29477677144499e-05	5.59999999999994e-17
7.52000811924049e-05	2.45618310682126e-05	5.59999999999989e-17
7.50669991751415e-05	2.60407492191637e-05	5.59999999999989e-17
7.49353908399535e-05	2.74060545918063e-05	5.59999999999994e-17
7.48070536606938e-05	2.86779835249149e-05	5.59999999999994e-17
7.46816165616453e-05	2.98737435316239e-05	5.59999999999994e-17
7.45575456742488e-05	3.10033832983397e-05	5.59999999999989e-17
7.44367141483478e-05	3.20795192811965e-05	5.59999999999994e-17
7.43189175230248e-05	3.31116066126e-05	5.59999999999994e-17
7.42031165201216e-05	3.41046357333769e-05	5.59999999999988e-17
7.40890688685434e-05	3.50628945088953e-05	5.59999999999994e-17
7.39773955450789e-05	3.59934990556448e-05	5.59999999999994e-17
7.38680843908513e-05	3.68994013533066e-05	5.59999999999994e-17
7.37611792391316e-05	3.77841779483581e-05	5.59999999999994e-17
7.3657636678264e-05	3.86541147155198e-05	5.59999999999988e-17
7.35565780997991e-05	3.95070584811328e-05	5.59999999999994e-17
7.39581638383088e-05	4.08468011752419e-05	5.42625439412874e-17
7.46232850022193e-05	4.25285477586671e-05	5.17749161430683e-17
7.52093682709443e-05	4.41954191571158e-05	4.97225862076152e-17
7.57328463336997e-05	4.58325347588409e-05	4.80105217572437e-17
7.62072401062319e-05	4.74343950467632e-05	4.65660791923496e-17
7.66422503160185e-05	4.89968788714903e-05	4.53355438964893e-17
